Quantidade_Vertices;Tipo_Grafo;Custo_Dijkstra;Tempo_Dijkstra(s);Custo_Duan;Tempo_Duan(s);Custo_BellmanFord;Tempo_BellmanFord(s)
557;watts;122479.0;0.000402;122479.0;0.000122;122479.0;0.001682
558;barabasi;35204.0;0.00043;35204.0;0.000139;35204.0;0.001299
558;complete;1765.0;0.000398;2140.0;0.000291;1765.0;0.000724
558;erdos;55170.0;0.000441;55170.0;0.000138;55170.0;0.001305
558;regular;191830.0;0.000472;191830.0;0.000113;191830.0;0.001237
558;watts;154827.0;0.000392;154827.0;0.000122;154827.0;0.001833
559;barabasi;37308.0;0.000439;37308.0;0.000146;37308.0;0.001299
559;complete;1993.0;0.000397;2547.0;0.000302;1993.0;0.000721
559;erdos;68825.0;0.000435;68825.0;0.000135;68825.0;0.000959
559;regular;1483427.0;0.000294;1483427.0;8.6e-05;1483427.0;0.004434
559;watts;120614.0;0.000401;120614.0;0.000123;120614.0;0.001361
560;barabasi;29987.0;0.000438;29987.0;0.000142;29987.0;0.00115
560;complete;1940.0;0.000407;2526.0;0.0003;1940.0;0.000726
560;erdos;76245.0;0.000443;76245.0;0.000136;76245.0;0.001467
560;regular;183287.0;0.00043;183287.0;0.000114;183287.0;0.001239
560;watts;98735.0;0.000409;98735.0;0.000122;98735.0;0.001541
561;barabasi;36014.0;0.000442;36014.0;0.000141;36014.0;0.001155
561;complete;1970.0;0.000407;2608.0;0.000299;1970.0;0.000731
561;erdos;48269.0;0.000441;48269.0;0.00014;48269.0;0.001457
561;regular;3720612.0;0.000415;3720612.0;0.000133;3720612.0;0.011863
561;watts;105466.0;0.000406;105466.0;0.000121;105466.0;0.001546
562;barabasi;29004.0;0.000435;29004.0;0.000144;29004.0;0.001124
562;complete;2015.0;0.000412;2792.0;0.000299;2015.0;0.000738
562;erdos;58373.0;0.000447;58373.0;0.000138;58373.0;0.001169
562;regular;162248.0;0.000435;162248.0;0.000117;162248.0;0.001274
562;watts;93887.0;0.00042;93887.0;0.000124;93887.0;0.001343
563;barabasi;28096.0;0.000436;28096.0;0.000143;28096.0;0.001006
563;complete;2067.0;0.000406;2666.0;0.000296;2067.0;0.000742
563;erdos;88597.0;0.00046;88597.0;0.000138;88597.0;0.001042
563;regular;914742.0;0.000191;914742.0;5e-05;914742.0;0.002908
563;watts;113047.0;0.000407;113047.0;0.000122;113047.0;0.002152
564;barabasi;33072.0;0.000432;33072.0;0.000144;33072.0;0.001173
564;complete;1963.0;0.000409;2545.0;0.000299;1963.0;0.000736
564;erdos;85318.0;0.000456;85318.0;0.00014;85318.0;0.001361
564;regular;205770.0;0.000477;205770.0;0.000119;205770.0;0.001319
564;watts;115909.0;0.000418;115909.0;0.000123;115909.0;0.00217
565;barabasi;36075.0;0.000546;36075.0;0.000158;36075.0;0.001483
565;complete;1953.0;0.000418;2583.0;0.000299;1953.0;0.000739
565;erdos;52185.0;0.000455;52185.0;0.00014;52185.0;0.001301
565;regular;2409739.0;0.000343;2409739.0;7.8e-05;2409739.0;0.007201
565;watts;138959.0;0.000417;138959.0;0.000125;138959.0;0.001866
566;barabasi;33307.0;0.000447;33307.0;0.000143;33307.0;0.001153
566;complete;2176.0;0.0004;2819.0;0.0003;2176.0;0.000747
566;erdos;0.0;3e-06;0.0;3e-06;0.0;0.000226
566;regular;178046.0;0.000443;178046.0;0.000117;178046.0;0.001427
566;watts;132155.0;0.000501;132155.0;0.00013;132155.0;0.001576
567;barabasi;28449.0;0.000441;28449.0;0.000143;28449.0;0.001177
567;complete;2082.0;0.00041;2736.0;0.000305;2082.0;0.000747
567;erdos;57715.0;0.000453;57715.0;0.000143;57715.0;0.001533
567;regular;2653374.0;0.000377;2653374.0;7.9e-05;2653374.0;0.008062
567;watts;153447.0;0.00042;153447.0;0.000133;153447.0;0.001604
568;complete;1949.0;0.00042;2556.0;0.000305;1949.0;0.000749
568;erdos;61083.0;0.000554;61083.0;0.000174;61083.0;0.001294
568;regular;113328.0;0.000524;113328.0;0.000141;113328.0;0.00112
568;watts;118270.0;0.000409;118270.0;0.000161;118270.0;0.001892
568;barabasi;31654.0;0.000468;31654.0;0.000181;31654.0;0.001484
569;barabasi;36944.0;0.000441;36944.0;0.000144;36944.0;0.001188
569;complete;2177.0;0.000424;2900.0;0.000308;2177.0;0.000751
569;erdos;104918.0;0.000454;104918.0;0.00014;104918.0;0.001384
569;regular;1209426.0;0.000229;1209426.0;5.7e-05;1209426.0;0.00416
569;watts;120622.0;0.000415;120622.0;0.000129;120622.0;0.001742
570;barabasi;31835.0;0.000447;31835.0;0.000179;31835.0;0.001189
570;complete;2155.0;0.000399;2848.0;0.000308;2155.0;0.000749
570;erdos;57726.0;0.00046;57726.0;0.000141;57726.0;0.001163
570;regular;199272.0;0.000441;199272.0;0.000118;199272.0;0.001282
570;watts;139478.0;0.000459;139478.0;0.000127;139478.0;0.001621
571;watts;128317.0;0.00042;128317.0;0.000125;128317.0;0.001568
571;barabasi;43577.0;0.000444;43577.0;0.000151;43577.0;0.001033
571;complete;2209.0;0.000404;2783.0;0.000305;2209.0;0.000759
571;erdos;71507.0;0.000457;71507.0;0.000145;71507.0;0.001715
571;regular;2278152.0;0.000329;2278152.0;7.8e-05;2278152.0;0.006584
572;barabasi;31477.0;0.000447;31477.0;0.000146;31477.0;0.001214
572;complete;1887.0;0.000429;2387.0;0.000309;1887.0;0.000754
572;erdos;87471.0;0.00058;87471.0;0.000175;87471.0;0.001396
572;regular;154983.0;0.000502;154983.0;0.00012;154983.0;0.001386
572;watts;128547.0;0.000426;128547.0;0.000132;128547.0;0.001866
573;barabasi;34309.0;0.00048;34309.0;0.000185;34309.0;0.001238
573;complete;2065.0;0.000439;2667.0;0.000309;2065.0;0.000761
573;erdos;77598.0;0.000458;77598.0;0.000143;77598.0;0.001425
573;regular;3530906.0;0.000422;3530906.0;9.4e-05;3530906.0;0.010288
573;watts;91341.0;0.000431;91341.0;0.000129;91341.0;0.001932
574;barabasi;34419.0;0.000455;34419.0;0.000146;34419.0;0.00137
574;complete;2025.0;0.000445;2532.0;0.000319;2025.0;0.000758
574;erdos;69187.0;0.000459;69187.0;0.000152;69187.0;0.001061
